a,b,distance,dircode,time,congtime,area_type,facl_type,num_lanes,capacity,twoway,vol_total,trk_vol
5001,18007,1.5,2,1.38,1.81,52,92,2,5061,0,3784.5,723.47
5002,5004,2.59,1,2.39,4.51,52,92,2,5061,0,5084.69,715.47
5003,5001,2.59,2,2.39,3.14,52,92,2,5061,0,3784.5,723.47
5004,10004,0.34,1,0.31,0.52,32,92,2,5494,0,5084.69,715.47
5005,5006,0.98,2,1.07,1.07,52,21,2,4327,2,689.79,122
5005,18064,0.33,1,0.46,0.46,33,21,2,5628,2,941.72,104
5006,5005,0.98,1,1.07,1.07,52,21,2,4327,2,941.72,104
5006,5007,4.23,2,6.51,6.51,52,43,1,751,2,29.76,5
5006,5010,2.31,2,3.22,3.22,33,21,2,5628,2,697.99,119
5007,5006,4.23,1,6.51,6.51,52,43,1,751,2,86.76,5
5007,5008,1.61,2,2.48,2.48,52,43,1,751,2,56.39,7
5008,5007,1.61,1,2.48,2.48,52,43,1,751,2,110.1,9
5008,5009,0.6,2,0.92,0.92,52,43,1,751,2,56.39,7
5009,5008,0.6,1,0.92,0.92,52,43,1,751,2,110.1,9
5009,5014,0.89,2,1.38,1.38,52,43,1,751,2,56.39,7
5010,5006,2.31,1,3.22,3.22,33,21,2,5628,2,892.92,101
5010,5015,0.8,2,1.15,1.15,31,21,2,5942,2,928.59,129
5011,5018,1.16,2,1.83,1.83,31,31,1,3662,2,237.18,51
5011,18070,1.43,1,1.91,1.91,51,31,1,2083,2,325.28,57
5012,18068,1.97,2,1.69,2.01,52,12,3,6723,0,5010.24,973.05
5013,5025,2.49,1,2.3,2.4,32,12,3,11621,0,5708.18,968.05
5014,5009,0.89,1,1.38,1.38,52,43,1,751,2,110.1,9
5014,5016,0.82,2,1.26,1.26,52,43,1,751,2,56.39,7
5015,5010,0.8,1,1.15,1.15,31,21,2,5942,2,1127.45,107
5015,5017,0.84,2,1.2,1.21,31,21,2,5942,2,1482.52,128
5016,5014,0.82,1,1.26,1.26,52,43,1,751,2,110.1,9
5016,5018,1.7,2,2.83,2.91,51,43,1,785,2,446.39,25
5017,5015,0.84,1,1.2,1.2,31,21,2,5942,2,1193.51,100
5017,5019,1.23,2,1.75,1.76,31,21,2,5942,2,1482.52,128
5018,5011,1.16,1,1.83,1.83,31,31,1,3662,2,325.28,57
5018,5016,1.7,1,2.83,2.83,51,43,1,785,2,200.42,32
